"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2019",1096.13,1095.86,1099.59,1093.14,"694.00M","0.13%"
"Apr 04, 2019",1094.76,1098.39,1099.27,1090.64,"787.68M","-0.34%"
"Apr 03, 2019",1098.51,1101.29,1102.19,1095.17,"1.06B","-0.16%"
"Apr 02, 2019",1100.22,1099.87,1103.24,1096.85,"824.96M","0.47%"
"Apr 01, 2019",1095.08,1095.81,1100.65,1094.29,"1.07B","0.38%"
"Mar 29, 2019",1090.94,1092.50,1095.49,1087.75,"731.05M","0.24%"
"Mar 28, 2019",1088.36,1082.11,1091.44,1081.27,"899.80M","0.27%"
"Mar 27, 2019",1085.46,1087.86,1089.86,1080.41,"739.85M","-0.28%"
"Mar 26, 2019",1088.47,1083.40,1090.34,1080.50,"882.93M","0.50%"
"Mar 25, 2019",1083.05,1087.35,1091.73,1076.70,"1.01B","-1.44%"
"Mar 22, 2019",1098.85,1089.77,1099.31,1087.54,"1.02B","1.05%"
"Mar 21, 2019",1087.41,1085.73,1092.41,1085.30,"954.44M","0.50%"
"Mar 20, 2019",1081.97,1085.18,1088.68,1081.30,"844.33M","-0.21%"
"Mar 19, 2019",1084.30,1074.91,1086.93,1074.15,"721.88M","0.90%"
"Mar 18, 2019",1074.63,1082.45,1083.96,1070.63,"920.41M","-0.50%"
"Mar 15, 2019",1080.01,1087.68,1089.48,1079.72,"1.00B","-0.65%"
"Mar 14, 2019",1087.12,1091.11,1092.14,1085.83,"856.37M","-0.18%"
"Mar 13, 2019",1089.10,1078.20,1089.10,1075.67,"1.03B","0.89%"
"Mar 12, 2019",1079.46,1082.75,1084.82,1077.43,"1.26B","0.01%"
"Mar 11, 2019",1079.36,1084.82,1087.29,1077.99,"591.35M","-0.25%"
"Mar 08, 2019",1082.08,1083.28,1087.94,1078.39,"749.21M","-0.23%"
"Mar 07, 2019",1084.58,1078.38,1087.60,1077.19,"841.04M","0.55%"
"Mar 06, 2019",1078.65,1086.95,1089.21,1076.99,"1.04B","-0.98%"
"Mar 05, 2019",1089.38,1086.09,1092.10,1082.70,"912.21M","0.20%"
"Mar 04, 2019",1087.22,1091.54,1094.28,1085.21,"1.08B","-0.42%"
"Mar 01, 2019",1091.76,1100.90,1102.15,1090.77,"1.58B","-0.69%"
"Feb 28, 2019",1099.30,1110.42,1110.87,1099.21,"1.23B","-0.95%"
"Feb 27, 2019",1109.88,1108.48,1112.52,1105.61,"1.54B","0.13%"
"Feb 26, 2019",1108.46,1109.60,1114.26,1106.71,"1.01B","-0.56%"
"Feb 25, 2019",1114.72,1110.52,1117.58,1110.20,"1.26B","0.80%"
"Feb 22, 2019",1105.88,1094.71,1108.23,1094.28,"944.83M","0.83%"
"Feb 21, 2019",1096.79,1096.44,1100.63,1092.50,"833.57M","0.08%"
"Feb 20, 2019",1095.88,1091.06,1097.31,1087.61,"1.05B","0.63%"
"Feb 18, 2019",1088.97,1095.20,1097.16,1088.34,"698.35M","-0.04%"
"Feb 15, 2019",1089.39,1098.70,1099.89,1086.88,"1.25B","-1.00%"
"Feb 14, 2019",1100.41,1104.54,1105.64,1098.24,"1.26B","-0.24%"
"Feb 13, 2019",1103.01,1098.67,1104.44,1095.46,"964.37M","0.90%"
"Feb 12, 2019",1093.16,1091.11,1096.89,1089.33,"726.71M","0.12%"
"Feb 11, 2019",1091.82,1095.63,1098.66,1088.21,"873.65M","-0.88%"
"Feb 08, 2019",1101.55,1098.67,1106.75,1091.30,"1.57B","-0.07%"
"Feb 07, 2019",1102.30,1106.68,1112.13,1099.56,"976.98M","-0.31%"
"Feb 06, 2019",1105.74,1103.64,1109.68,1101.59,"846.40M","0.28%"
"Feb 05, 2019",1102.66,1101.53,1103.98,1096.90,"683.93M","0.01%"
"Feb 04, 2019",1102.57,1104.63,1107.39,1101.29,"639.23M","0.03%"
"Feb 01, 2019",1102.22,1098.26,1106.06,1095.78,"960.43M","0.52%"
"Jan 31, 2019",1096.50,1096.80,1102.66,1095.96,"1.32B","0.50%"
"Jan 30, 2019",1091.05,1088.06,1091.52,1083.07,"1.06B","0.44%"
"Jan 29, 2019",1086.30,1084.56,1086.61,1079.53,"1.30B","-0.01%"
"Jan 28, 2019",1086.46,1088.97,1093.38,1083.69,"1.14B","0.03%"
"Jan 25, 2019",1086.11,1087.29,1090.33,1080.71,"1.42B","0.20%"
"Jan 24, 2019",1083.97,1083.45,1090.12,1079.47,"1.33B","0.13%"
"Jan 23, 2019",1082.61,1073.14,1086.22,1071.94,"1.58B","0.83%"
"Jan 22, 2019",1073.73,1063.51,1073.73,1061.95,"1.15B","0.86%"
"Jan 21, 2019",1064.57,1062.75,1069.92,1061.78,"1.03B","0.34%"
"Jan 18, 2019",1060.95,1061.31,1063.91,1055.68,"1.04B","0.29%"
